year, days_tmax_lt_32f
1950, 3
1951, 6
1952, 0
1953, 0.8
1954, 1
1955, 1.6
1956, 2.2
1957, 3.1
1958, 7.6
1959, 2.4
1960, 4.6
1961, 5.1
1962, 4.2
1963, 13.9
1964, 2
1965, 3.6
1966, 6
1967, 4.2
1968, 6
1969, 3.1
1970, 9.5
1971, 6.2
1972, 5.7
1973, 8.8
1974, 6.3
1975, 2.6
1976, 4.2
1977, 13.1
1978, 23.7
1979, 17.7
1980, 8.7
1981, 3.9
1982, 11
1983, 12.2
1984, 6
1985, 15.4
1986, 4
1987, 1.2
1988, 8.2
1989, 13
1990, 3.3
1991, 1.9
1992, 0.6
1993, 2
1994, 8.6
1995, 3.7
1996, 11.8
1997, 6.6
1998, 1.3
1999, 2.8
2000, 14.6
2001, 3.6
2002, 3.4
2003, 8.5
2004, 7.5
2005, 4.6
2006, 2.8
2007, 3.7
2008, 9.1
2009, 5.1
2010, 15.1
2011, 10.2
2012, 0.4
2013, 7.7