year, days_pcpn_gt_2in
1950, 1.6
1951, 0.7
1952, 0.8
1953, 0.2
1954, 0.1
1955, 0.4
1956, 1.1
1957, 0.6
1958, 3.1
1959, 0.3
1960, 0
1961, 0.3
1962, 0.1
1963, 1.3
1964, 1
1965, 0.2
1966, 1.1
1967, 0.6
1968, 1.4
1969, 0.8
1970, 1
1971, 0.1
1972, 1
1973, 1.6
1974, 1.9
1975, 1.4
1976, 1.8
1977, 0
1978, 0
1979, 1.7
1980, 0
1981, 0.3
1982, 1.6
1983, 1.5
1984, 0
1985, 2.3
1986, 2.4
1987, 1.2
1988, 1.3
1989, 1
1990, 1.7
1991, 0.2
1992, 1
1993, 3
1994, 1.6
1995, 0.2
1996, 2.1
1997, 0.2
1998, 0.3
1999, 1.6
2000, 0
2001, 0.2
2002, 1.2
2003, 0
2004, 0.4
2005, 0.4
2006, 1.6
2007, 0.8
2008, 4
2009, 1.9
2010, 1.5
2011, 0.7
2012, 0
2013, 1.3