year, days_tmax_gt_90f
1950, 8.2
1951, 22.1
1952, 63.2
1953, 75.4
1954, 85
1955, 44.2
1956, 55.3
1957, 34.4
1958, 18.5
1959, 30
1960, 48.2
1961, 27.4
1962, 37.5
1963, 51.7
1964, 35
1965, 20.4
1966, 29.8
1967, 14.4
1968, 22.7
1969, 38.4
1970, 41.1
1971, 41
1972, 41.9
1973, 32.5
1974, 31.7
1975, 32.8
1976, 19.9
1977, 42.1
1978, 54
1979, 12.6
1980, 81
1981, 27.8
1982, 30.8
1983, 57.7
1984, 43.6
1985, 35.1
1986, 34.1
1987, 42.4
1988, 39.3
1989, 19.5
1990, 34.2
1991, 39.6
1992, 2.6
1993, 26
1994, 25.1
1995, 39.8
1996, 14.4
1997, 18.7
1998, 36.3
1999, 35.3
2000, 35.8
2001, 26.9
2002, 32.6
2003, 31.9
2004, 7.2
2005, 48.5
2006, 50.4
2007, 27.6
2008, 14.1
2009, 15.5
2010, 50.4
2011, 65
2012, 63.1
2013, 27.3