year, days_tmin_lt_32f
1950, 106
1951, 98.8
1952, 97.2
1953, 88.6
1954, 88.5
1955, 101.4
1956, 100.8
1957, 87.8
1958, 100.9
1959, 102
1960, 113.9
1961, 97.8
1962, 92
1963, 104
1964, 103.1
1965, 91.5
1966, 106.5
1967, 97.5
1968, 105.1
1969, 114.3
1970, 107.7
1971, 105
1972, 102.4
1973, 83.2
1974, 87.5
1975, 105.1
1976, 106
1977, 96.8
1978, 110.7
1979, 111.4
1980, 104.4
1981, 94.7
1982, 97.8
1983, 91.8
1984, 89.6
1985, 102.8
1986, 97.5
1987, 93.2
1988, 107
1989, 117.5
1990, 81.1
1991, 93.5
1992, 84.2
1993, 107.8
1994, 91.7
1995, 96.3
1996, 107
1997, 96.7
1998, 82.6
1999, 90.4
2000, 106.1
2001, 100.9
2002, 105.1
2003, 102.3
2004, 88.3
2005, 95.5
2006, 83.2
2007, 101.9
2008, 116.8
2009, 97.3
2010, 98.6
2011, 95.5
2012, 86.2
2013, 115.7