year, cdd_65f
1950, 1600
1951, 2000
1952, 2200
1953, 2200
1954, 2600
1955, 2100
1956, 2500
1957, 1800
1958, 2000
1959, 1900
1960, 1900
1961, 1600
1962, 2100
1963, 2500
1964, 2100
1965, 2100
1966, 1800
1967, 1700
1968, 1700
1969, 2000
1970, 2100
1971, 1900
1972, 2100
1973, 1800
1974, 1800
1975, 1700
1976, 1700
1977, 2300
1978, 2300
1979, 1800
1980, 2500
1981, 2100
1982, 2000
1983, 1900
1984, 2000
1985, 2000
1986, 2100
1987, 2000
1988, 2000
1989, 1700
1990, 2200
1991, 2100
1992, 1500
1993, 1900
1994, 2000
1995, 1800
1996, 1800
1997, 1800
1998, 2500
1999, 1800
2000, 2000
2001, 2000
2002, 1700
2003, 1800
2004, 1600
2005, 2000
2006, 2300
2007, 1900
2008, 1800
2009, 1700
2010, 2100
2011, 2600
2012, 2300
2013, 1800