year, days_dry_days
1950, 242.7
1951, 209.7
1952, 255.8
1953, 252.5
1954, 272.6
1955, 249.7
1956, 254.2
1957, 200.8
1958, 218.4
1959, 215.5
1960, 235.1
1961, 226.4
1962, 224.3
1963, 261
1964, 227.1
1965, 250.2
1966, 240
1967, 233
1968, 217.1
1969, 244.5
1970, 248.4
1971, 225.3
1972, 241.9
1973, 193.1
1974, 243.4
1975, 215.5
1976, 263
1977, 239
1978, 244.3
1979, 240.5
1980, 269.3
1981, 229.7
1982, 225.5
1983, 216.8
1984, 223.3
1985, 216.9
1986, 225.2
1987, 219.8
1988, 243.3
1989, 246.7
1990, 221.9
1991, 216.9
1992, 210.1
1993, 226.6
1994, 235.2
1995, 224.1
1996, 247.5
1997, 216.7
1998, 236.8
1999, 233.5
2000, 216.1
2001, 243.5
2002, 232
2003, 233.1
2004, 228.1
2005, 241.9
2006, 248.7
2007, 207
2008, 224.7
2009, 208.3
2010, 221.7
2011, 241
2012, 252.6
2013, 219.9